,"('<s>', 'get') ",6,0.00139958
110,"('day', 'share') ",1,0.0041841
111,"('share', 'light') ",1,0.111111111
112,"('light', 'love') ",1,0.25
113,"('love', 'others') ",1,0.005050505
114,"('others', '</s>') ",2,0.5
115,"('<s>', 'realdeal') ",1,0.000233263
116,"('realdeal', '</s>') ",1,1
117,"('<s>', 'yoginifoodie') ",1,0.000233263
118,"('yoginifoodie', 'well') ",1,1
119,"('well', 'thanks') ",1,0.011111111
120,"('thanks', 'lol') ",2,0.016
121,"('lol', 'want') ",1,0.005649718
122,"('want', '</s>') ",11,0.090909091
123,"('<s>', 'mileycyrus') ",12,0.00279916
124,"('mileycyrus', 'play') ",1,0.055555556
125,"('play', 'pwn') ",1,0.029411765
126,"('pwn', 'yeeee') ",1,1
127,"('yeeee', 'btw') ",1,1
128,"('btw', 'voted') ",1,0.058823529
129,"('voted', '</s>') ",3,0.75
130,"('<s>', 'got') ",37,0.008630744
131,"('got', 'hot') ",1,0.006134969
132,"('hot', 'tub') ",1,0.035714286
133,"('tub', 'get') ",1,1
134,"('get', 'movie') ",1,0.004065041
135,"('movie', 'ice') ",1,0.026315789
136,"('ice', 'cream') ",7,0.636363636
137,"('cream', 'lil') ",1,0.090909091
138,"('lil', 'sis') ",1,0.333333333
139,"('sis', 'call') ",1,0.142857143
140,"('call', 'night') ",1,0.043478261
141,"('night', 'nothing') ",1,0.008695652
142,"('nothing', 'like') ",2,0.058823529
143,"('like', 'sis') ",1,0.005208333
144,"('sis', 'time') ",1,0.142857143
145,"('time', '</s>') ",26,0.173333333
146,"('<s>', 'flyingbolt') ",1,0.000233263
147,"('flyingbolt', 'good') ",1,1
148,"('good', 'without') ",1,0.003802281
149,"('without', '</s>') ",4,0.210526316
150,"('<s>', 'lol') ",5,0.001166317
151,"('lol', 'help') ",2,0.011299435
152,"('help', 'obsessed') ",1,0.034482759
153,"('obsessed', 'hannah') ",1,1
154,"('hannah', 'montana') ",4,1
155,"('montana', '</s>') ",2,0.5
156,"('<s>', 'hate') ",12,0.00279916
157,"('hate', 'people') ",1,0.020833333
158,"('people', 'move') ",1,0.027027027
159,"('move', 'away') ",1,0.125
160,"('away', '</s>') ",12,0.352941176
161,"('<s>', 'sad') ",14,0.003265687
162,"('sad', 'iranelection') ",1,0.011904762
163,"('iranelection', '</s>') ",2,0.5
164,"('<s>', 'sctunstall') ",1,0.000233263
165,"('sctunstall', 'woah') ",1,1
166,"('woah', 'glad') ",1,0.5
167,"('glad', 'cut') ",1,0.035714286
168,"('cut', 'ran') ",1,0.25
169,"('ran', 'two') ",1,0.2
170,"('two', 'west') ",1,0.052631579
171,"('west', 'wing') ",1,0.25
172,"('wing', 'episodes') ",1,0.5
173,"('episodes', '</s>') ",1,0.333333333
174,"('<s>', 'digitallearnin') ",1,0.000233263
175,"('digitallearnin', 'heppell') ",1,1
176,"('heppell', 'opening') ",1,1
177,"('opening', 'sentences') ",1,0.333333333
178,"('sentences', 'describe') ",1,1
179,"('describe', 'see') ",1,0.5
180,"('see', 'schools') ",1,0.007518797
181,"('schools', 'developing') ",1,0.333333333
182,"('developing', 'current') ",1,1
183,"('current', 'govt') ",1,0.5
184,"('govt', '</s>') ",1,1
185,"('<s>', 'ihauntwizards') ",1,0.000233263
186,"('ihauntwizards', 'see') ",1,1
187,"('see', 'amazing') ",2,0.015037594
188,"('amazing', '</s>') ",5,0.138888889
189,"('<s>', 'luke') ",1,0.000233263
190,"('luke', 'luke') ",1,0.333333333
191,"('luke', 'answer') ",1,0.333333333
192,"('answer', 'pleease') ",1,0.071428571
193,"('pleease', 'try') ",1,1
194,"('try', 'love') ",1,0.033333333
195,"('love', 'music') ",3,0.015151515
196,"('music', 'hear') ",1,0.043478261
197,"('hear', 'whole') ",1,0.032258065
198,"('whole', 'day') ",2,0.133333333
199,"('day', 'really') ",1,0.0041841
200,"('really', '</s>') ",6,0.04137931
201,"('<s>', 'getting') ",18,0.00419874
202,"('getting', 'ready') ",14,0.184210526
203,"('ready', '</s>') ",3,0.081081081
204,"('<s>', 'buckhollywood') ",1,0.000233263
205,"('buckhollywood', 'cant') ",1,1
206,"('cant', 'watch') ",1,0.02
207,"('watch', 'tell') ",1,0.022727273
208,"('tell', 'please') ",1,0.04
209,"('please', '</s>') ",11,0.268292683
210,"('<s>', 'wont') ",2,0.000466527
211,"('wont', 'forget') ",1,0.055555556
212,"('forget', 'today') ",1,0.142857143
213,"('today', '</s>') ",42,0.251497006
214,"('<s>', 'soycamo') ",1,0.000233263
215,"('soycamo', 'right') ",1,1
216,"('right', 'page') ",1,0.011904762
217,"('page', 'write') ",1,0.071428571
218,"('write', 'ruby') ",1,0.111111111
219,"('ruby', 'cocoa') ",1,1
220,"('cocoa', '</s>') ",1,1
221,"('<s>', 'liverpool') ",1,0.000233263
222,"('liverpool', 'lol') ",1,1
223,"('lol', 'okay') ",1,0.005649718
224,"('okay', 'permission') ",1,0.055555556
225,"('permission', 'try') ",1,1
226,"('try', 'give') ",1,0.033333333
227,"('give', 'credit') ",3,0.115384615
228,"('credit', '</s>') ",1,0.25
229,"('<s>', 'alix') ",1,0.000233263
230,"('alix', 'says') ",1,1
231,"('says', 'going') ",1,0.052631579
232,"('going', 'miss') ",2,0.011173184
233,"('miss', 'freshman') ",1,0.011111111
234,"('freshman', 'year') ",1,1
235,"('year', '</s>') ",4,0.142857143
236,"('<s>', 'domkoenig') ",1,0.000233263
237,"('domkoenig', 'nice') ",1,1
238,"('nice', 'pic') ",1,0.015151515
239,"('pic', 'like') ",1,0.0625
240,"('like', 'shirt') ",1,0.005208333
241,"('shirt', '</s>') ",2,0.5
242,"('<s>', 'mykiaisosm') ",1,0.000233263
243,"('mykiaisosm', 'omj') ",1,1
244,"('omj', 'bad') ",1,0.25
245,"('bad', 'mean') ",1,0.016949153
246,"('mean', 'meet') ",1,0.05
247,"('meet', 'grade') ",1,0.071428571
248,"('grade', 'even') ",1,0.25
249,"('even', 'thouggh') ",1,0.02173913
250,"('thouggh', 'hated') ",1,1
251,"('hated', 'stayed') ",1,1
252,"('stayed', 'like') ",1,0.25
253,"('like', '</s>') ",13,0.067708333
254,"('<s>', 'cyberela') ",1,0.000233263
255,"('cyberela', 'ber') ",1,1
256,"('ber', 'succesful') ",1,1
257,"('succesful', 'called') ",1,1
258,"('called', 'quot') ",1,0.090909091
259,"('quot', 'classic') ",1,0.004901961
260,"('classic', 'quot') ",1,0.333333333
261,"('quot', '</s>') ",24,0.117647059
262,"('<s>', 'bathroom') ",1,0.000233263
263,"('bathroom', 'sparkling') ",1,1
264,"('sparkling', 'btw') ",1,0.5
265,"('btw', 'since') ",1,0.058823529
266,"('since', 'gotta') ",1,0.03030303
267,"('gotta', 'wrong') ",1,0.029411765
268,"('wrong', 'right') ",1,0.058823529
269,"('right', 'next') ",1,0.011904762
270,"('next', '</s>') ",4,0.086956522
271,"('<s>', 'sally') ",1,0.000233263
272,"('sally', 'girl') ",1,1
273,"('girl', 'poor') ",1,0.037037037
274,"('poor', '</s>') ",1,0.043478261
275,"('<s>', 'sleepy') ",5,0.001166317
276,"('sleepy', 'hate') ",1,0.125
277,"('hate', 'casb') ",1,0.020833333
278,"('casb', '</s>') ",1,1
279,"('<s>', 'spencerpratt') ",1,0.000233263
280,"('spencerpratt', 'cool') ",1,1
281,"('cool', '</s>') ",11,0.282051282
282,"('<s>', 'work') ",20,0.004665267
283,"('work', 'time') ",2,0.011428571
284,"('time', '</s>') ",26,0.173333333
285,"('<s>', 'eating') ",8,0.001866107
286,"('eating', 'chocolate') ",2,0.111111111
287,"('chocolate', 'brydie') ",1,0.1
288,"('brydie', '</s>') ",1,1
289,"('<s>', 'moz') ",1,0.000233263
290,"('moz', 'cancelled') ",1,1
291,"('cancelled', 'poor') ",1,0.5
292,"('poor', 'akila') ",1,0.043478261
293,"('akila', '</s>') ",1,1
294,"('<s>', 'missed') ",2,0.000466527
295,"('missed', 'game') ",1,0.027777778
296,"('game', '</s>') ",5,0.172413793
297,"('<s>', 'marginatasnaily') ",1,0.000233263
298,"('marginatasnaily', 'yeah') ",1,1
299,"('yeah', 'used') ",1,0.014705882
300,"('used', 'loads') ",1,0.052631579
301,"('loads', 'ages') ",1,0.25
302,"('ages', 'tonight') ",1,0.142857143
303,"('tonight', 'though') ",1,0.013513514
304,"('though', 'seems') ",1,0.015625
305,"('seems', 'scarey') ",1,0.058823529
306,"('scarey', 'xxx') ",1,1
307,"('xxx', '</s>') ",7,0.777777778
308,"('<s>', 'finally') ",8,0.001866107
309,"('finally', 'back') ",1,0.04
310,"('back', 'work') ",14,0.086956522
311,"('work', 'wasted') ",1,0.005714286
312,"('wasted', 'week') ",1,0.5
313,"('week', '</s>') ",10,0.181818182
314,"('<s>', 'got') ",37,0.008630744
315,"('got', 'webcam') ",1,0.006134969
316,"('webcam', '</s>') ",1,1
317,"('<s>', 'watch') ",5,0.001166317
318,"('watch', 'student') ",1,0.022727273
319,"('student', 'play') ",1,1
320,"('play', 'back') ",1,0.029411765
321,"('back', 'phone') ",1,0.00621118
322,"('phone', 'tweet') ",2,0.047619048
323,"('tweet', '</s>') ",6,0.171428571
324,"('<s>', 'craving') ",1,0.000233263
325,"('craving', 'junk') ",1,0.5
326,"('junk', 'food') ",1,1
327,"('food', '</s>') ",5,0.2
328,"('<s>', 'bossmobb') ",1,0.000233263
329,"('bossmobb', 'goodmorning') ",1,1
330,"('goodmorning', 'goodnite') ",1,0.25
331,"('goodnite', 'goin') ",1,1
332,"('goin', 'bed') ",1,0.090909091
333,"('bed', '</s>') ",15,0.25
334,"('<s>', 'newerdeal') ",1,0.000233263
335,"('newerdeal', 'pedometer') ",1,1
336,"('pedometer', 'nintendo') ",1,1
337,"('nintendo', 'think') ",1,1
338,"('think', 'mentioning') ",1,0.011627907
339,"('mentioning', '</s>') ",2,1
340,"('<s>', 'cat') ",3,0.00069979
341,"('cat', 'appt') ",1,0.1
342,"('appt', 'afternoon') ",1,0.5
343,"('afternoon', 'ate') ",1,0.058823529
344,"('ate', 'little') ",1,0.1
345,"('little', 'morning') ",1,0.022222222
346,"('morning', 'hiding') ",1,0.009174312
347,"('hiding', 'right') ",1,0.333333333
348,"('right', 'worried') ",1,0.011904762
349,"('worried', '</s>') ",1,0.2
350,"('<s>', 'effed') ",1,0.000233263
351,"('effed', 'stats') ",1,1
352,"('stats', '</s>') ",1,1
353,"('<s>', 'scared') ",1,0.000233263
354,"('scared', 'thunder') ",1,0.111111111
355,"('thunder', 'lightning') ",1,0.25
356,"('lightning', 'careful') ",1,0.333333333
357,"('careful', 'georgetta') ",1,0.333333333
358,"('georgetta', '</s>') ",1,1
359,"('<s>', 'going') ",50,0.011663168
360,"('going', 'rawon') ",1,0.005586592
361,"('rawon', 'nguling') ",1,1
362,"('nguling', 'cikajang') ",1,1
363,"('cikajang', 'yum') ",1,1
364,"('yum', '</s>') ",2,0.5
365,"('<s>', 'meggles') ",1,0.000233263
366,"('meggles', 'miss') ",1,1
367,"('miss', 'face') ",1,0.011111111
368,"('face', 'bonnaroo') ",1,0.090909091
369,"('bonnaroo', '</s>') ",1,0.333333333
370,"('<s>', 'stupid') ",1,0.000233263
371,"('stupid', 'twitter') ",2,0.105263158
372,"('twitter', 'keeps') ",1,0.010204082
373,"('keeps', 'telling') ",1,0.166666667
374,"('telling', 'capacity') ",1,1
375,"('capacity', '</s>') ",1,1
376,"('<s>', 'work') ",20,0.004665267
377,"('work', 'completely') ",1,0.005714286
378,"('completely', 'bored') ",1,0.333333333
379,"('bored', 'blah') ",1,0.043478261
380,"('blah', 'need') ",1,1
381,"('need', 'hug') ",2,0.020618557
382,"('hug', '</s>') ",2,0.285714286
383,"('<s>', 'quot') ",12,0.00279916
384,"('quot', 'wanna') ",1,0.004901961
385,"('wanna', 'wake') ",2,0.05
386,"('wake', 'quot') ",1,0.076923077
387,"('quot', 'love') ",2,0.009803922
388,"('love', 'goo') ",1,0.005050505
389,"('goo', 'goo') ",1,0.5
390,"('goo', 'dolls') ",1,0.5
391,"('dolls', '</s>') ",1,0.5
392,"('<s>', 'everyone') ",6,0.00139958
393,"('everyone', 'grumpy') ",1,0.03030303
394,"('grumpy', 'guillot') ",1,0.333333333
395,"('guillot', 'house') ",1,1
396,"('house', 'tonight') ",1,0.033333333
397,"('tonight', 'including') ",1,0.013513514
398,"('including', 'still') ",1,0.2
399,"('still', 'sulking') ",1,0.007936508
400,"('sulking', '</s>') ",1,1
401,"('<s>', 'ferrite') ",1,0.000233263
402,"('ferrite', 'dave') ",1,1
403,"('dave', 'think') ",1,0.333333333
404,"('think', 'guys') ",1,0.011627907
405,"('guys', 'ever') ",1,0.026315789
406,"('ever', 'got') ",1,0.03030303
407,"('got', 'rsvp') ",1,0.006134969
408,"('rsvp', '</s>') ",1,1
409,"('<s>', 'office') ",5,0.001166317
410,"('office', 'hopefully') ",1,0.058823529
411,"('hopefully', 'finding') ",1,0.041666667
412,"('finding', 'sick') ",1,0.333333333
413,"('sick', 'hard') ",1,0.025
414,"('hard', 'keep') ",1,0.03030303
415,"('keep', 'eyes') ",1,0.032258065
416,"('eyes', 'open') ",1,0.1
417,"('open', '</s>') ",1,0.066666667
418,"('<s>', 'cmrush') ",1,0.000233263
419,"('cmrush', 'niiice') ",1,1
420,"('niiice', 'love') ",1,1
421,"('love', 'asuka') ",1,0.005050505
422,"('asuka', 'esp') ",1,1
423,"('esp', 'weekdays') ",1,0.25
424,"('weekdays', 'great') ",1,1
425,"('great', 'sushi') ",1,0.011494253
426,"('sushi', 'rolls') ",1,0.2
427,"('rolls', 'super') ",1,0.5
428,"('super', 'cheap') ",1,0.058823529
429,"('cheap', 'hope') ",1,0.25
430,"('hope', 'youre') ",1,0.01010101
431,"('youre', 'great') ",1,0.25
432,"('great', 'weekend') ",5,0.057471264
433,"('weekend', '</s>') ",22,0.4
434,"('<s>', 'nachojohnny') ",1,0.000233263
435,"('nachojohnny', 'ilove') ",1,1
436,"('ilove', 'think') ",1,1
437,"('think', 'ive') ",1,0.011627907
438,"('ive', 'seen') ",1,0.125
439,"('seen', 'every') ",1,0.111111111
440,"('every', 'episode') ",1,0.071428571
441,"('episode', 'possible') ",1,0.111111111
442,"('possible', 'bout') ",1,0.333333333
443,"('bout', '</s>') ",1,0.0625
444,"('<s>', 'teambudd') ",1,0.000233263
445,"('teambudd', 'hahaha') ",1,1
446,"('hahaha', 'funny') ",1,0.055555556
447,"('funny', 'reply') ",1,0.047619048
448,"('reply', 'hahaha') ",1,0.142857143
449,"('hahaha', 'saying') ",1,0.055555556
450,"('saying', 'kansas') ",1,0.1
451,"('kansas', 'appreciate') ",1,1
452,"('appreciate', '</s>') ",3,0.5
453,"('<s>', 'karon') ",1,0.000233263
454,"('karon', 'saw') ",1,1
455,"('saw', 'two') ",1,0.0625
456,"('two', 'small') ",1,0.052631579
457,"('small', '</s>') ",1,0.166666667
458,"('<s>', 'feel') ",12,0.00279916
459,"('feel', 'like') ",13,0.134020619
460,"('like', 'death') ",3,0.015625
461,"('death', 'next') ",1,0.2
462,"('next', 'investment') ",1,0.02173913
463,"('investment', 'going') ",1,0.5
464,"('going', 'spa') ",1,0.005586592
465,"('spa', 'need') ",1,1
466,"('need', 'new') ",4,0.041237113
467,"('new', 'body') ",2,0.016
468,"('body', 'function') ",1,0.1
469,"('function', 'via') ",1,0.5
470,"('via', 'ingadurgin') ",1,0.166666667
471,"('ingadurgin', 'herd') ",1,1
472,"('herd', 'sleep') ",1,0.5
473,"('sleep', 'good') ",1,0.012658228
474,"('good', 'dat') ",1,0.003802281
475,"('dat', '</s>') ",1,0.5
476,"('<s>', 'goodnight') ",5,0.001166317
477,"('goodnight', 'everybody') ",2,0.153846154
478,"('everybody', 'see') ",1,0.111111111
479,"('see', 'tomorrow') ",3,0.022556391
480,"('tomorrow', 'night') ",2,0.019047619
481,"('night', 'monday') ",1,0.008695652
482,"('monday', 'ciao') ",1,0.047619048
483,"('ciao', 'friends') ",1,1
484,"('friends', '</s>') ",14,0.269230769
485,"('<s>', 'alright') ",2,0.000466527
486,"('alright', 'finally') ",1,0.2
487,"('finally', 'woke') ",1,0.04
488,"('woke', 'ass') ",1,0.04
489,"('ass', 'late') ",1,0.125
490,"('late', 'usual') ",1,0.032258065
491,"('usual', 'coffee') ",1,0.125
492,"('coffee', 'green') ",1,0.04
493,"('green', 'time') ",1,0.142857143
494,"('time', 'best') ",1,0.006666667
495,"('best', 'part') ",1,0.021276596
496,"('part', 'waking') ",1,0.052631579
497,"('waking', 'yeah') ",1,0.142857143
498,"('yeah', 'dork') ",1,0.014705882
499,"('dork', '</s>') ",1,1
500,"('<s>', 'bored') ",10,0.002332634
501,"('bored', 'trying') ",1,0.043478261
502,"('trying', 'figure') ",2,0.057142857
503,"('figure', 'profiles') ",1,0.142857143
504,"('profiles', 'ive') ",1,1
505,"('ive', 'made') ",1,0.125
506,"('made', 'net') ",1,0.029411765
507,"('net', 'cannot') ",1,0.25
508,"('cannot', 'remember') ",1,0.090909091
509,"('remember', 'bit') ",1,0.076923077
510,"('bit', 'brain') ",1,0.038461538
511,"('brain', 'dead') ",1,0.333333333
512,"('dead', 'moment') ",1,0.058823529
513,"('moment', '</s>') ",4,0.444444444
514,"('<s>', 'officialas') ",1,0.000233263
515,"('officialas', 'fair') ",1,1
516,"('fair', 'enough') ",1,0.2
517,"('enough', 'slap') ",1,0.05
518,"('slap', 'vis') ",1,1
519,"('vis', 'comm') ",1,1
520,"('comm', 'teachers') ",1,0.5
521,"('teachers', 'face') ",1,0.2
522,"('face', 'lmao') ",1,0.090909091
523,"('lmao', 'thursday') ",1,0.166666667
524,"('thursday', 'thursday') ",2,0.285714286
525,"('thursday', 'thursday') ",2,0.285714286
526,"('thursday', '</s>') ",4,0.571428571
527,"('<s>', 'yesterday') ",3,0.00069979
528,"('yesterday', 'fantastic') ",1,0.047619048
529,"('fantastic', 'saw') ",1,0.166666667
530,"('saw', 'fam') ",1,0.0625
531,"('fam', 'oregon') ",1,0.2
532,"('oregon', 'missed') ",1,1
533,"('missed', 'soo') ",1,0.027777778
534,"('soo', 'much') ",4,0.285714286
535,"('much', '</s>') ",22,0.222222222
536,"('<s>', 'mrskutcher') ",1,0.000233263
537,"('mrskutcher', 'poland') ",1,1
538,"('poland', 'mothers') ",1,1
539,"('mothers', 'day') ",11,0.6875
540,"('day', 'may') ",1,0.0041841
541,"('may', '</s>') ",1,0.041666667
542,"('<s>', 'eastcoastgamblr') ",1,0.000233263
543,"('eastcoastgamblr', 'like') ",1,1
544,"('like', 'feel') ",2,0.010416667
545,"('feel', 'today') ",1,0.010309278
546,"('today', '</s>') ",42,0.251497006
547,"('<s>', 'lydiastack') ",1,0.000233263
548,"('lydiastack', 'mitchelmusso') ",1,1
549,"('mitchelmusso', 'australian') ",1,0.333333333
550,"('australian', 'relese') ",1,0.5
551,"('relese', 'know') ",1,1
552,"('know', 'please') ",2,0.016393443
553,"('please', 'write') ",1,0.024390244
554,"('write', 'back') ",1,0.111111111
555,"('back', '</s>') ",12,0.074534161
556,"('<s>', 'etf') ",1,0.000233263
557,"('etf', '</s>') ",1,1
558,"('<s>', 'back') ",19,0.004432004
559,"('back', 'work') ",14,0.086956522
560,"('work', '</s>') ",39,0.222857143
561,"('<s>', 'beach') ",1,0.000233263
562,"('beach', 'day') ",1,0.05
563,"('day', 'headed') ",1,0.0041841
564,"('headed', 'cats') ",1,0.2
565,"('cats', 'listen') ",1,0.333333333
566,"('listen', 'yankees') ",1,0.142857143
567,"('yankees', 'game') ",1,1
568,"('game', 'get') ",1,0.034482759
569,"('get', 'place') ",1,0.004065041
570,"('place', 'cleaned') ",1,0.05
571,"('cleaned', 'maybe') ",1,0.333333333
572,"('maybe', 'read') ",1,0.04
573,"('read', 'little') ",2,0.076923077
574,"('little', '</s>') ",3,0.066666667
575,"('<s>', 'pulled') ",1,0.000233263
576,"('pulled', 'oboe') ",1,0.333333333
577,"('oboe', 'full') ",1,1
578,"('full', 'year') ",1,0.0625
579,"('year', 'amp') ",2,0.071428571
580,"('amp', 'definitely') ",1,0.006711409
581,"('definitely', 'longer') ",1,0.25
582,"('longer', 'symphony') ",1,0.111111111
583,"('symphony', 'level') ",1,1
584,"('level', 'must') ",1,0.333333333
585,"('must', 'remedy') ",1,0.045454545
586,"('remedy', 'lips') ",1,0.5
587,"('lips', 'hurt') ",1,0.333333333
588,"('hurt', '</s>') ",5,0.5
589,"('<s>', 'nessie') ",3,0.00069979
590,"('nessie', 'today') ",1,0.333333333
591,"('today', 'well') ",2,0.011976048
592,"('well', 'world') ",1,0.011111111
593,"('world', 'cup') ",1,0.047619048
594,"('cup', 'really') ",1,0.142857143
595,"('really', 'diverted') ",1,0.006896552
596,"('diverted', 'attention') ",1,1
597,"('attention', '</s>') ",2,1
598,"('<s>', 'gov') ",1,0.000233263
599,"('gov', 'poop') ",1,1
600,"('poop', 'forgot') ",1,0.5
601,"('forgot', '</s>') ",1,0.0625
602,"('<s>', 'package') ",1,0.000233263
603,"('package', 'arrived') ",1,0.5
604,"('arrived', 'cheryl') ",1,0.142857143
605,"('cheryl', 'gave') ",1,1
606,"('gave', 'xiaomantous') ",1,0.1
607,"('xiaomantous', 'book') ",1,1
608,"('book', 'ordered') ",1,0.058823529
609,"('ordered', 'yay') ",1,0.2
610,"('yay', '</s>') ",7,0.233333333
611,"('<s>', 'nakulshenoy') ",1,0.000233263
612,"('nakulshenoy', 'lol') ",1,1
613,"('lol', 'quot') ",1,0.005649718
614,"('quot', 'twiiter') ",1,0.004901961
615,"('twiiter', 'killed') ",1,1
616,"('killed', 'blogger') ",1,0.142857143
617,"('blogger', 'quot') ",1,0.5
618,"('quot', 'far') ",1,0.004901961
619,"('far', 'apart') ",1,0.047619048
620,"('apart', 'btw') ",1,0.5
621,"('btw', 'quot') ",1,0.058823529
622,"('quot', 'blogging') ",1,0.004901961
623,"('blogging', 'traditional') ",1,1
624,"('traditional', 'sense') ",1,1
625,"('sense', 'quot') ",1,0.333333333
626,"('quot', 'may') ",1,0.004901961
627,"('may', 'know') ",1,0.041666667
628,"('know', '</s>') ",11,0.090163934
629,"('<s>', 'test') ",2,0.000466527
630,"('test', 'good') ",1,0.076923077
631,"('good', 'probably') ",1,0.003802281
632,"('probably', 'going') ",1,0.05
633,"('going', 'get') ",4,0.022346369
634,"('get', 'torrent') ",1,0.004065041
635,"('torrent', '</s>') ",1,1
636,"('<s>', 'jeddimkins') ",1,0.000233263
637,"('jeddimkins', 'bahahah') ",1,1
638,"('bahahah', 'advertise') ",1,1
639,"('advertise', 'fat') ",1,1
640,"('fat', 'people') ",1,0.166666667
641,"('people', '</s>') ",4,0.108108108
642,"('<s>', 'trying') ",12,0.00279916
643,"('trying', 'amusing') ",1,0.028571429
644,"('amusing', 'make') ",1,0.5
645,"('make', 'laugh') ",2,0.025974026
646,"('laugh', '</s>') ",2,0.222222222
647,"('<s>', 'dannymcevoy') ",1,0.000233263
