,Word Unit,Count,Probability
2466,"('miss', '</s>') ",12,0.00021623
2848,"('<s>', 'home') ",12,0.00021623
3282,"('<s>', 'need') ",12,0.00021623
3778,"('<s>', 'still') ",12,0.00021623
4971,"('get', '</s>') ",12,0.00021623
7460,"('quot', 'quot') ",12,0.00021623
7956,"('<s>', 'twitter') ",12,0.00021623
314,"('week', '</s>') ",10,0.000205418
501,"('<s>', 'bored') ",10,0.000205418
723,"('summer', '</s>') ",10,0.000205418
949,"('school', '</s>') ",10,0.000205418
1270,"('come', '</s>') ",10,0.000205418
1435,"('nice', '</s>') ",10,0.000205418
1644,"('<s>', 'excited') ",10,0.000205418
1649,"('hours', '</s>') ",10,0.000205418
1688,"('get', 'ready') ",10,0.000205418
1741,"('song', '</s>') ",10,0.000205418
2414,"('<s>', 'day') ",10,0.000205418
2693,"('already', '</s>') ",10,0.000205418
2709,"('back', 'home') ",10,0.000205418
2940,"('life', '</s>') ",10,0.000205418
3252,"('feel', 'good') ",10,0.000205418
3805,"('thank', '</s>') ",10,0.000205418
4729,"('<s>', 'found') ",10,0.000205418
5780,"('done', '</s>') ",10,0.000205418
7525,"('xoxo', '</s>') ",10,0.000205418
10725,"('get', 'better') ",10,0.000205418
63,"('getting', 'ready') ",14,0.000143649
162,"('<s>', 'sad') ",14,0.000143649
311,"('back', 'work') ",14,0.000143649
485,"('friends', '</s>') ",14,0.000143649
1134,"('soon', '</s>') ",14,0.000143649
1852,"('days', '</s>') ",14,0.000143649
2222,"('<s>', 'looking') ",14,0.000143649
4002,"('<s>', 'omg') ",14,0.000143649
30001,"('seb', 'day') ",14,0.000143649
151,"('<s>', 'lol') ",5,0.000133389
189,"('amazing', '</s>') ",5,0.000133389
276,"('<s>', 'sleepy') ",5,0.000133389
297,"('game', '</s>') ",5,0.000133389
318,"('<s>', 'watch') ",5,0.000133389
328,"('food', '</s>') ",5,0.000133389
410,"('<s>', 'office') ",5,0.000133389
433,"('great', 'weekend') ",5,0.000133389
477,"('<s>', 'goodnight') ",5,0.000133389
589,"('hurt', '</s>') ",5,0.000133389
767,"('<s>', 'davidarchie') ",5,0.000133389
863,"('head', '</s>') ",5,0.000133389
885,"('much', 'love') ",5,0.000133389
939,"('job', '</s>') ",5,0.000133389
1166,"('party', '</s>') ",5,0.000133389
1217,"('<s>', 'hungry') ",5,0.000133389
1225,"('followers', '</s>') ",5,0.000133389
1307,"('bad', '</s>') ",5,0.000133389
1362,"('<s>', 'yeah') ",5,0.000133389
1459,"('<s>', 'poor') ",5,0.000133389
1485,"('tho', '</s>') ",5,0.000133389
1680,"('hurts', '</s>') ",5,0.000133389
1928,"('<s>', 'aww') ",5,0.000133389
1951,"('get', 'home') ",5,0.000133389
2019,"('feels', 'like') ",5,0.000133389
2399,"('updates', '</s>') ",5,0.000133389
2449,"('stuff', '</s>') ",5,0.000133389
2694,"('<s>', 'see') ",5,0.000133389
2808,"('always', '</s>') ",5,0.000133389
2834,"('<s>', 'hope') ",5,0.000133389
2935,"('<s>', 'playing') ",5,0.000133389
3019,"('movie', '</s>') ",5,0.000133389
3093,"('video', '</s>') ",5,0.000133389
3234,"('welcome', '</s>') ",5,0.000133389
3275,"('ever', '</s>') ",5,0.000133389
3486,"('<s>', 'find') ",5,0.000133389
3677,"('luck', '</s>') ",5,0.000133389
3918,"('world', '</s>') ",5,0.000133389
3927,"('love', 'song') ",5,0.000133389
4260,"('trying', 'get') ",5,0.000133389
4428,"('pic', '</s>') ",5,0.000133389
4642,"('hello', '</s>') ",5,0.000133389
4660,"('anymore', '</s>') ",5,0.000133389
4705,"('part', '</s>') ",5,0.000133389
4728,"('place', '</s>') ",5,0.000133389
4852,"('wish', '</s>') ",5,0.000133389
4917,"('<s>', 'watched') ",5,0.000133389
5223,"('<s>', 'sunday') ",5,0.000133389
5541,"('annoying', '</s>') ",5,0.000133389
5745,"('<s>', 'done') ",5,0.000133389
5791,"('heart', '</s>') ",5,0.000133389
5945,"('going', 'home') ",5,0.000133389
6162,"('wait', 'see') ",5,0.000133389
6203,"('really', 'like') ",5,0.000133389
6400,"('<s>', 'seriously') ",5,0.000133389
6450,"('<s>', 'cant') ",5,0.000133389
6626,"('season', '</s>') ",5,0.000133389
7390,"('<s>', 'god') ",5,0.000133389
7545,"('really', 'love') ",5,0.000133389
7646,"('headache', '</s>') ",5,0.000133389
7812,"('need', 'something') ",5,0.000133389
7831,"('sad', 'day') ",5,0.000133389
7934,"('got', '</s>') ",5,0.000133389
8369,"('get', 'see') ",5,0.000133389
8584,"('want', 'get') ",5,0.000133389
9521,"('last', 'time') ",5,0.000133389
9671,"('mind', '</s>') ",5,0.000133389
9679,"('<s>', 'days') ",5,0.000133389
10008,"('thing', '</s>') ",5,0.000133389
10113,"('sweet', 'dreams') ",5,0.000133389
10256,"('<s>', 'man') ",5,0.000133389
10512,"('<s>', 'nice') ",5,0.000133389
11145,"('get', 'sleep') ",5,0.000133389
12348,"('music', '</s>') ",5,0.000133389
12812,"('feeling', 'better') ",5,0.000133389
13532,"('didnt', 'get') ",5,0.000133389
14471,"('try', '</s>') ",5,0.000133389
16316,"('thanks', 'much') ",5,0.000133389
16647,"('<s>', 'also') ",5,0.000133389
16820,"('really', 'need') ",5,0.000133389
17057,"('didnt', 'know') ",5,0.000133389
18816,"('cant', 'get') ",5,0.000133389
21205,"('work', 'work') ",5,0.000133389
26823,"('better', 'hope') ",5,0.000133389
10,"('yesterday', '</s>') ",8,0.000120665
286,"('<s>', 'eating') ",8,0.000120665
309,"('<s>', 'finally') ",8,0.000120665
707,"('get', 'back') ",8,0.000120665
736,"('<s>', 'waiting') ",8,0.000120665
751,"('coffee', '</s>') ",8,0.000120665
787,"('guess', '</s>') ",8,0.000120665
803,"('happy', 'mothers') ",8,0.000120665
1090,"('sun', '</s>') ",8,0.000120665
1139,"('left', '</s>') ",8,0.000120665
1475,"('really', 'really') ",8,0.000120665
2137,"('happy', '</s>') ",8,0.000120665
2269,"('live', '</s>') ",8,0.000120665
2295,"('going', 'sleep') ",8,0.000120665
2557,"('<s>', 'made') ",8,0.000120665
2666,"('tired', '</s>') ",8,0.000120665
2847,"('way', '</s>') ",8,0.000120665
3379,"('anything', '</s>') ",8,0.000120665
3487,"('find', '</s>') ",8,0.000120665
3548,"('much', 'fun') ",8,0.000120665
3664,"('<s>', 'know') ",8,0.000120665
4394,"('good', 'time') ",8,0.000120665
4849,"('<s>', 'tired') ",8,0.000120665
5168,"('happy', 'birthday') ",8,0.000120665
7098,"('<s>', 'wanna') ",8,0.000120665
7239,"('going', 'back') ",8,0.000120665
7883,"('great', 'day') ",8,0.000120665
13147,"('guys', '</s>') ",8,0.000120665
13527,"('new', 'moon') ",8,0.000120665
14131,"('<s>', 'ugh') ",8,0.000120665
961,"('<s>', 'want') ",16,9.77E-05
1750,"('wish', 'could') ",16,9.77E-05
2056,"('awesome', '</s>') ",16,9.77E-05
3077,"('looks', 'like') ",16,9.77E-05
7357,"('well', '</s>') ",16,9.77E-05
76,"('<s>', 'early') ",4,7.78E-05
89,"('rain', '</s>') ",4,7.78E-05
101,"('follow', '</s>') ",4,7.78E-05
150,"('without', '</s>') ",4,7.78E-05
155,"('hannah', 'montana') ",4,7.78E-05
236,"('year', '</s>') ",4,7.78E-05
271,"('next', '</s>') ",4,7.78E-05
467,"('need', 'new') ",4,7.78E-05
514,"('moment', '</s>') ",4,7.78E-05
527,"('thursday', '</s>') ",4,7.78E-05
535,"('soo', 'much') ",4,7.78E-05
634,"('going', 'get') ",4,7.78E-05
642,"('people', '</s>') ",4,7.78E-05
872,"('everyone', '</s>') ",4,7.78E-05
1011,"('beautiful', '</s>') ",4,7.78E-05
1018,"('cry', '</s>') ",4,7.78E-05
1232,"('<s>', 'david') ",4,7.78E-05
1433,"('last', 'one') ",4,7.78E-05
1588,"('yet', '</s>') ",4,7.78E-05
1682,"('busy', 'day') ",4,7.78E-05
1687,"('amp', 'get') ",4,7.78E-05
1759,"('wait', '</s>') ",4,7.78E-05
1763,"('help', '</s>') ",4,7.78E-05
1853,"('<s>', 'glad') ",4,7.78E-05
1927,"('following', '</s>') ",4,7.78E-05
1933,"('taylor', 'swift') ",4,7.78E-05
2067,"('around', '</s>') ",4,7.78E-05
2089,"('used', '</s>') ",4,7.78E-05
2331,"('gotta', 'get') ",4,7.78E-05
2429,"('<s>', 'ahhh') ",4,7.78E-05
2503,"('agree', '</s>') ",4,7.78E-05
2576,"('nite', '</s>') ",4,7.78E-05
2623,"('<s>', 'amp') ",4,7.78E-05
2727,"('happy', 'mother') ",4,7.78E-05
2767,"('going', 'work') ",4,7.78E-05
2788,"('lunch', '</s>') ",4,7.78E-05
2827,"('<s>', 'slept') ",4,7.78E-05
2867,"('hospital', '</s>') ",4,7.78E-05
3012,"('nice', 'day') ",4,7.78E-05
3032,"('followfriday', '</s>') ",4,7.78E-05
3063,"('coming', '</s>') ",4,7.78E-05
3080,"('nice', 'weather') ",4,7.78E-05
3143,"('<s>', 'thank') ",4,7.78E-05
3270,"('first', 'time') ",4,7.78E-05
3285,"('dont', 'wanna') ",4,7.78E-05
3295,"('exams', '</s>') ",4,7.78E-05
3514,"('good', 'see') ",4,7.78E-05
3524,"('getting', 'sick') ",4,7.78E-05
3545,"('<s>', 'raining') ",4,7.78E-05
3550,"('learn', '</s>') ",4,7.78E-05
3702,"('long', 'day') ",4,7.78E-05
3777,"('money', '</s>') ",4,7.78E-05
3839,"('hugs', '</s>') ",4,7.78E-05
4159,"('raining', '</s>') ",4,7.78E-05
4179,"('<s>', 'nothing') ",4,7.78E-05
4187,"('want', 'work') ",4,7.78E-05
4199,"('friday', 'night') ",4,7.78E-05
4231,"('really', 'miss') ",4,7.78E-05
4312,"('thought', 'would') ",4,7.78E-05
4478,"('lady', 'gaga') ",4,7.78E-05
4486,"('<s>', 'awesome') ",4,7.78E-05
4510,"('said', '</s>') ",4,7.78E-05
4511,"('<s>', 'please') ",4,7.78E-05
4558,"('sunday', 'night') ",4,7.78E-05
4578,"('make', 'feel') ",4,7.78E-05
4666,"('gonna', 'make') ",4,7.78E-05
4734,"('friend', '</s>') ",4,7.78E-05
4821,"('makes', 'feel') ",4,7.78E-05
4910,"('<s>', 'took') ",4,7.78E-05
4922,"('<s>', 'okay') ",4,7.78E-05
4974,"('tommorow', '</s>') ",4,7.78E-05
4976,"('back', 'hurts') ",4,7.78E-05
5006,"('little', 'bit') ",4,7.78E-05
5154,"('kids', '</s>') ",4,7.78E-05
5252,"('<s>', '</s>') ",4,7.78E-05
5546,"('takes', 'long') ",4,7.78E-05
5547,"('long', '</s>') ",4,7.78E-05
5568,"('<s>', 'breaking') ",4,7.78E-05
5676,"('exam', 'today') ",4,7.78E-05
5732,"('morning', 'everyone') ",4,7.78E-05
5753,"('lonely', '</s>') ",4,7.78E-05
5783,"('<s>', 'guys') ",4,7.78E-05
5820,"('<s>', 'read') ",4,7.78E-05
5915,"('san', 'diego') ",4,7.78E-05
5958,"('went', 'see') ",4,7.78E-05
6149,"('either', '</s>') ",4,7.78E-05
6243,"('saturday', '</s>') ",4,7.78E-05
6338,"('almost', 'done') ",4,7.78E-05
6357,"('exam', 'tomorrow') ",4,7.78E-05
6534,"('mine', '</s>') ",4,7.78E-05
6567,"('hour', '</s>') ",4,7.78E-05
6612,"('amazing', 'love') ",4,7.78E-05
6734,"('far', '</s>') ",4,7.78E-05
6742,"('think', 'gonna') ",4,7.78E-05
6773,"('<s>', 'officially') ",4,7.78E-05
6786,"('class', '</s>') ",4,7.78E-05
6956,"('next', 'time') ",4,7.78E-05
7061,"('know', 'right') ",4,7.78E-05
7123,"('one', 'day') ",4,7.78E-05
7172,"('get', 'coffee') ",4,7.78E-05
7227,"('together', '</s>') ",4,7.78E-05
7430,"('saturday', 'night') ",4,7.78E-05
7479,"('need', 'get') ",4,7.78E-05
7882,"('hope', 'great') ",4,7.78E-05
7929,"('feel', 'bad') ",4,7.78E-05
7980,"('watch', '</s>') ",4,7.78E-05
8324,"('<s>', 'dang') ",4,7.78E-05
8386,"('want', 'home') ",4,7.78E-05
8438,"('wedding', '</s>') ",4,7.78E-05
8564,"('lol', 'well') ",4,7.78E-05
9047,"('<s>', 'didnt') ",4,7.78E-05
9055,"('dreams', '</s>') ",4,7.78E-05
9146,"('work', 'today') ",4,7.78E-05
9290,"('life', 'good') ",4,7.78E-05
9481,"('call', '</s>') ",4,7.78E-05
9565,"('<s>', 'eat') ",4,7.78E-05
9925,"('make', 'sure') ",4,7.78E-05
9993,"('<s>', 'another') ",4,7.78E-05
10079,"('<s>', 'looks') ",4,7.78E-05
10299,"('working', '</s>') ",4,7.78E-05
10447,"('<s>', 'lovely') ",4,7.78E-05
10461,"('day', 'school') ",4,7.78E-05
10547,"('ill', '</s>') ",4,7.78E-05
10567,"('boys', '</s>') ",4,7.78E-05
10766,"('<s>', 'gotta') ",4,7.78E-05
11236,"('beer', '</s>') ",4,7.78E-05
11464,"('<s>', 'come') ",4,7.78E-05
11584,"('win', '</s>') ",4,7.78E-05
11840,"('would', 'like') ",4,7.78E-05
11895,"('<s>', 'lost') ",4,7.78E-05
12009,"('word', '</s>') ",4,7.78E-05
12135,"('<s>', 'someone') ",4,7.78E-05
12266,"('wrong', '</s>') ",4,7.78E-05
12877,"('though', 'lol') ",4,7.78E-05
13137,"('good', 'weekend') ",4,7.78E-05
14479,"('missed', '</s>') ",4,7.78E-05
14688,"('<s>', 'mum') ",4,7.78E-05
15023,"('really', 'feel') ",4,7.78E-05
15031,"('tweets', '</s>') ",4,7.78E-05
15136,"('peace', '</s>') ",4,7.78E-05
15905,"('<s>', 'sun') ",4,7.78E-05
16139,"('<s>', 'haha') ",4,7.78E-05
16265,"('breakfast', '</s>') ",4,7.78E-05
16797,"('watching', '</s>') ",4,7.78E-05
17121,"('dead', '</s>') ",4,7.78E-05
17418,"('suck', '</s>') ",4,7.78E-05
17660,"('concert', '</s>') ",4,7.78E-05
18736,"('<s>', 'like') ",4,7.78E-05
19349,"('yummy', '</s>') ",4,7.78E-05
19551,"('long', 'weekend') ",4,7.78E-05
21350,"('god', 'bless') ",4,7.78E-05
21908,"('love', 'quot') ",4,7.78E-05
23069,"('<s>', 'gunna') ",4,7.78E-05
28299,"('best', 'thing') ",4,7.78E-05
28968,"('happens', '</s>') ",4,7.78E-05
0,"('<s>', 'get') ",6,7.73E-05
105,"('alone', '</s>') ",6,7.73E-05
201,"('really', '</s>') ",6,7.73E-05
324,"('tweet', '</s>') ",6,7.73E-05
393,"('<s>', 'everyone') ",6,7.73E-05
686,"('come', 'back') ",6,7.73E-05
854,"('hopefully', '</s>') ",6,7.73E-05
1195,"('phone', '</s>') ",6,7.73E-05
1260,"('<s>', 'headache') ",6,7.73E-05
1293,"('monday', '</s>') ",6,7.73E-05
1350,"('name', '</s>') ",6,7.73E-05
1469,"('cold', '</s>') ",6,7.73E-05
1502,"('family', '</s>') ",6,7.73E-05
1723,"('show', '</s>') ",6,7.73E-05
1780,"('<s>', 'mom') ",6,7.73E-05
1849,"('<s>', 'sick') ",6,7.73E-05
1899,"('hope', 'feel') ",6,7.73E-05
1926,"('thanks', 'following') ",6,7.73E-05
2196,"('good', 'times') ",6,7.73E-05
2299,"('<s>', 'sleep') ",6,7.73E-05
2622,"('nothing', '</s>') ",6,7.73E-05
2660,"('<s>', 'time') ",6,7.73E-05
2663,"('ready', 'work') ",6,7.73E-05
2728,"('mother', 'day') ",6,7.73E-05
3005,"('great', 'time') ",6,7.73E-05
3161,"('hope', '</s>') ",6,7.73E-05
3172,"('hard', '</s>') ",6,7.73E-05
3207,"('sunny', 'day') ",6,7.73E-05
3243,"('idea', '</s>') ",6,7.73E-05
3319,"('early', '</s>') ",6,7.73E-05
3457,"('hear', '</s>') ",6,7.73E-05
4055,"('<s>', 'jonathanrknight') ",6,7.73E-05
4075,"('even', 'though') ",6,7.73E-05
4144,"('hate', '</s>') ",6,7.73E-05
4241,"('dont', 'know') ",6,7.73E-05
4470,"('<s>', 'great') ",6,7.73E-05
4547,"('sounds', 'like') ",6,7.73E-05
4580,"('okay', '</s>') ",6,7.73E-05
4621,"('yeah', '</s>') ",6,7.73E-05
4858,"('gone', '</s>') ",6,7.73E-05
5027,"('<s>', 'best') ",6,7.73E-05
5034,"('<s>', 'school') ",6,7.73E-05
5169,"('birthday', '</s>') ",6,7.73E-05
5275,"('play', '</s>') ",6,7.73E-05
5293,"('sunday', '</s>') ",6,7.73E-05
5980,"('would', 'love') ",6,7.73E-05
6746,"('nom', 'nom') ",6,7.73E-05
6910,"('<s>', 'gonna') ",6,7.73E-05
7698,"('good', 'news') ",6,7.73E-05
8407,"('check', '</s>') ",6,7.73E-05
8423,"('baby', '</s>') ",6,7.73E-05
8442,"('sure', '</s>') ",6,7.73E-05
9399,"('things', '</s>') ",6,7.73E-05
9639,"('<s>', 'sorry') ",6,7.73E-05
9841,"('got', 'new') ",6,7.73E-05
10118,"('<s>', 'damn') ",6,7.73E-05
10595,"('<s>', 'heading') ",6,7.73E-05
11164,"('hot', '</s>') ",6,7.73E-05
11202,"('<s>', 'wants') ",6,7.73E-05
11324,"('<s>', 'take') ",6,7.73E-05
11386,"('dont', 'want') ",6,7.73E-05
11952,"('read', '</s>') ",6,7.73E-05
12585,"('old', '</s>') ",6,7.73E-05
14166,"('house', '</s>') ",6,7.73E-05
15700,"('<s>', 'dont') ",6,7.73E-05
44,"('love', 'much') ",3,5.75E-05
50,"('day', 'love') ",3,5.75E-05
61,"('answer', '</s>') ",3,5.75E-05
77,"('early', 'tomorrow') ",3,5.75E-05
83,"('<s>', 'needs') ",3,5.75E-05
130,"('voted', '</s>') ",3,5.75E-05
196,"('love', 'music') ",3,5.75E-05
204,"('ready', '</s>') ",3,5.75E-05
228,"('give', 'credit') ",3,5.75E-05
341,"('<s>', 'cat') ",3,5.75E-05
453,"('appreciate', '</s>') ",3,5.75E-05
461,"('like', 'death') ",3,5.75E-05
480,"('see', 'tomorrow') ",3,5.75E-05
528,"('<s>', 'yesterday') ",3,5.75E-05
575,"('little', '</s>') ",3,5.75E-05
590,"('<s>', 'nessie') ",3,5.75E-05
688,"('ride', '</s>') ",3,5.75E-05
889,"('made', 'night') ",3,5.75E-05
920,"('dinner', '</s>') ",3,5.75E-05
1057,"('<s>', 'arm') ",3,5.75E-05
1066,"('prayers', '</s>') ",3,5.75E-05
1104,"('car', '</s>') ",3,5.75E-05
1143,"('please', 'give') ",3,5.75E-05
1188,"('<s>', 'stuck') ",3,5.75E-05
1204,"('<s>', 'goin') ",3,5.75E-05
1224,"('new', 'followers') ",3,5.75E-05
1231,"('kind', '</s>') ",3,5.75E-05
1245,"('<s>', 'today') ",3,5.75E-05
1277,"('excited', '</s>') ",3,5.75E-05
1279,"('miss', 'baby') ",3,5.75E-05
1287,"('<s>', 'totally') ",3,5.75E-05
1310,"('morning', 'twitter') ",3,5.75E-05
1386,"('mood', '</s>') ",3,5.75E-05
1387,"('<s>', 'believe') ",3,5.75E-05
1422,"('feel', 'sick') ",3,5.75E-05
1478,"('wanna', 'see') ",3,5.75E-05
1493,"('way', 'home') ",3,5.75E-05
1530,"('<s>', 'donniewahlberg') ",3,5.75E-05
1540,"('meeting', '</s>') ",3,5.75E-05
1692,"('show', 'tonight') ",3,5.75E-05
1714,"('came', 'back') ",3,5.75E-05
1829,"('know', 'going') ",3,5.75E-05
1848,"('ahaha', '</s>') ",3,5.75E-05
1883,"('found', '</s>') ",3,5.75E-05
1922,"('course', '</s>') ",3,5.75E-05
1970,"('book', '</s>') ",3,5.75E-05
2070,"('something', 'wrong') ",3,5.75E-05
2111,"('<s>', 'summer') ",3,5.75E-05
2123,"('<s>', 'forgot') ",3,5.75E-05
2153,"('post', '</s>') ",3,5.75E-05
2180,"('<s>', 'wondering') ",3,5.75E-05
2202,"('question', '</s>') ",3,5.75E-05
2238,"('quick', '</s>') ",3,5.75E-05
2290,"('<s>', 'caught') ",3,5.75E-05
2327,"('<s>', 'woohoo') ",3,5.75E-05
2336,"('<s>', 'beginning') ",3,5.75E-05
2372,"('makes', 'sad') ",3,5.75E-05
2436,"('hahaha', '</s>') ",3,5.75E-05
2483,"('<s>', 'weekend') ",3,5.75E-05
2487,"('fast', '</s>') ",3,5.75E-05
2519,"('break', '</s>') ",3,5.75E-05
2528,"('new', 'album') ",3,5.75E-05
2661,"('time', 'get') ",3,5.75E-05
2667,"('<s>', 'gah') ",3,5.75E-05
2685,"('memories', '</s>') ",3,5.75E-05
2741,"('eyes', '</s>') ",3,5.75E-05
2780,"('got', 'job') ",3,5.75E-05
2830,"('sleep', 'night') ",3,5.75E-05
2852,"('everybody', '</s>') ",3,5.75E-05
2912,"('looks', 'great') ",3,5.75E-05
2934,"('even', '</s>') ",3,5.75E-05
2988,"('haha', 'well') ",3,5.75E-05
3069,"('<s>', 'soooo') ",3,5.75E-05
3076,"('morning', 'looks') ",3,5.75E-05
3115,"('tea', '</s>') ",3,5.75E-05
3162,"('<s>', 'ahh') ",3,5.75E-05
3179,"('lately', '</s>') ",3,5.75E-05
3326,"('xxxx', '</s>') ",3,5.75E-05
3356,"('<s>', 'thinking') ",3,5.75E-05
3434,"('<s>', 'dad') ",3,5.75E-05
3557,"('let', 'see') ",3,5.75E-05
3588,"('page', '</s>') ",3,5.75E-05
3589,"('<s>', 'sooo') ",3,5.75E-05
3626,"('get', 'right') ",3,5.75E-05
3648,"('earn', 'money') ",3,5.75E-05
3936,"('<s>', 'half') ",3,5.75E-05
4012,"('gotta', 'work') ",3,5.75E-05
4119,"('hope', 'see') ",3,5.75E-05
4128,"('happen', '</s>') ",3,5.75E-05
4182,"('today', 'work') ",3,5.75E-05
4203,"('<s>', 'dream') ",3,5.75E-05
4344,"('lot', '</s>') ",3,5.75E-05
4455,"('get', 'online') ",3,5.75E-05
4471,"('great', 'night') ",3,5.75E-05
4532,"('babies', '</s>') ",3,5.75E-05
4754,"('swine', 'flu') ",3,5.75E-05
4784,"('old', 'one') ",3,5.75E-05
4792,"('smile', '</s>') ",3,5.75E-05
4900,"('<s>', 'red') ",3,5.75E-05
4928,"('mom', '</s>') ",3,5.75E-05
4929,"('<s>', 'wishing') ",3,5.75E-05
5146,"('finally', '</s>') ",3,5.75E-05
5203,"('cream', 'cheese') ",3,5.75E-05
5298,"('seems', 'working') ",3,5.75E-05
5403,"('sore', 'throat') ",3,5.75E-05
5535,"('best', 'friend') ",3,5.75E-05
5602,"('sis', '</s>') ",3,5.75E-05
6006,"('<s>', 'boring') ",3,5.75E-05
6024,"('tired', 'going') ",3,5.75E-05
6161,"('<s>', 'wait') ",3,5.75E-05
6221,"('next', 'year') ",3,5.75E-05
6224,"('road', 'trip') ",3,5.75E-05
6276,"('self', '</s>') ",3,5.75E-05
6277,"('<s>', 'could') ",3,5.75E-05
6455,"('like', 'crap') ",3,5.75E-05
6566,"('half', 'hour') ",3,5.75E-05
