,sentence,LABEL
135,ddlovato btw fun really see,1
136,jenifel aww thank lord raining taking time,1
137,feels good home shooting jennhoffman stopped raining,1
139,slowly getting raise cardboard cup toast realised,1
141,xscarletmx hey trip expensive lesson,1
142,egoodlett angelajames thank everyone else,1
143,baked chocolate molten cakes rich mean heatworld,1
147,dirkjohnson thank trying amusing make women orgasming,1
149,sunday mmmmmmmmmmmmmmmm,1
153,zacharyxbinks notebook fantastic competition today three weeks,1
154,beautiful long,1
155,lowcountrybbq good live,1
156,went home park feed squirrels get email,1
158,bobbythomas know head statement sort steroid,1
159,barracuda happy weekend beautiful long amp math,1
160,paolotarray well winter really love jethro gibbs,1
162,amylovegrove little,1
165,joshgroban wish iphone vibrate vibratey get excited,1
167,past six months since asked,1
168,digging wandering around world guess sitting tornado,1
169,ranga allows one rub today may delightful,1
171,thedavidblaise even feel whai feeling feel today,1
172,bbl ppl folo plz call day happy,1
173,legalivy find extension cord case,1
174,green beans rather impressive,1
175,ladyshamble nope opened dallas yet cannot deny,1
177,precise public education best thing advertised,1
178,nikki please give hug sorry bout shower,1
179,xoxoroxyxoxo last disc wire transformers tmr hopefully,1
180,bronques yea ive got floor defying gravity,1
183,muffin muhaha,1
184,gooooooddddd sunday means thank bao adore rubik,1
185,daniel laura come santander nice today sonic,1
186,emmetjuh app stay posted last five hour,1
187,first,1
188,knicksmets darn good btw,1
189,micheleknight awww love emotion based,1
191,subbspy yea def big brother trying unpack,1
193,underoathband would super sweet thanks alot drag,1
194,still swim,1
196,kporcalla hey tried hard tweet thank guys,1
198,diner chums french wooooo know smart network,1
199,bless xoxo,1
200,furrytom yeah friday flat rate shipping great,1
201,huaaaa get order chocolate visit doctor marathon,1
202,kayaked five hours listenig bros idea verena,1
203,dragonflylsu yay,1
204,kno ham lol know person cant phone,1
205,listening fly challenge shansgrl balcony science lab,1
206,campaign get presentations internet taking daughter vero,1
207,pure genius update,1
209,joyfirestar daddy,1
211,suspiciousminds sorry love thank cheesecake yumm hope,1
212,learned hoedown throwdown soo cool send pics,1
213,feelin lauren last began twitter land gordon,1
214,stephenfry work drama one following,1
215,sinyoureyes religion,1
216,georgia kentucky game carcassonne church family calls,1
217,littlelisa hiya gorgeous look facebook amp super,1
219,headache feeling positive though far spent last,1
220,gregjames want call answers thanks hun sweeter,1
221,jared letos new super late hungry waiting,1
222,djadam getting breakfast mariot,1
223,tamapalace heyy carnavilistic day fishing tomorrow going,1
224,goooood,1
225,drewie thanks really looking like going like,1
226,shiny dragon,1
228,betheaeroplane getting breakfast timeee,1
230,bobshrunkle clicked link story,1
233,freqnc welcome anyway got three medals trophy,1
234,jessimikaaaa hungry maybe many varieties,1
236,candacecbure relate total hours say thai beef,1
237,suits today hope good times,1
238,sleepy always better yet olive tree hill,1
239,last saturday,1
241,twinkle thankyou hope feet forming around lol,1
242,guess password,1
243,waaah,1
244,dog watching dew tour ahhhhhhh jabbawockeez,1
245,lab work best massage,1
246,chinese fooood mmmmm,1
247,leeboardman cheers follow anyways,1
248,diner guess wrong smile god little bit,1
0,ahhhaaaa win good week rafting awesome amazing,1
3,overun phone ideas,1
4,shaunmichaelb summer needs better soon din rocknitb,1
5,chrisworthy got rsvp,1
6,stepheezy got jonasbrothers,1
8,pauly cheers sir wait show backdrop set,1
9,rohit could order anything tonight whooot whoot,1
10,trswift wear ones achievements quot stole,1
12,paige media years liiiiife moved one weeks,1
13,miiikeo wish knew close realise went see,1
14,needs hug,1
16,dormir amanh tem niver josi show without,1
18,mizzdangerous easy ride get clapham,1
19,sleeping lol help baby got take stride,1
20,lunch bexttt,1
22,shell twitter place closes tomorrow today days,1
23,keepithandy hey katie learn use url shortening,1
24,zetas jacksonwages action jay leno show days,1
25,atebits week modern thanks really see tweets,1
26,smileytee haha aint gonna dress aaahhhhhhh excited,1
27,steveplunkett hey look comfortable still morning thanks,1
28,sitter house last week made word grand,1
30,craig hope great reminded lolll miss photoshop,1
32,entershikari yes deffinetly see survive hopefully supernatural,1
34,wreya hey woods gotta luv chelseafc slept,1
35,twitsaver work haga,1
38,nothing changed since last words fantastic saw,1
40,rebeccao yet buy one bring fairly regular,1
41,lannydoodle good late know ellie hoping get,1
42,sliding bed chillin,1
43,hester love jay hits top model bad,1
44,katgkionis followfriday,1
45,mouseisthewal gizmo,1
46,mum actually find jumper,1
48,stephanie pratt tells mtv cinetrip,1
49,beautiful location tired sleep leave inspirational shit,1
50,chettahman reference fml,1
51,dezz mcr fan since months however may,1
53,dougiemcfly says boleyn girl greeeeeeezy,1
54,jodiluvsjordank none left lunch afternoon nap woke,1
57,cuddlebum anything,1
59,gprs anyone want help mom missed musicmatch,1
60,erika exactly mins,1
61,sunshineliron thanks yes originally like yesterday exciting,1
62,rach michelle always dreams may pull skirt,1
63,jennaleight neighbour might want mileycyrus back city,1
64,gayletrent yet,1
65,cathylando haha ako naman yihee may pdt,1
66,newt think get show today guess bed,1
67,chloebli heyy tamagotchi girl know want get,1
69,msn,1
71,gotta come santander nice wanted,1
73,tired think awesome tie dyed shirts jason,1
74,ellljayy nice feeling soooo irritated eyes open,1
75,lisbethh finaly,1
76,juiceegapeach lol soooooo talented,1
77,twitpic last one person,1
78,full,1
79,guylikeu contact page least doesnt apply,1
80,sedonadreammakr wish live reality may clean room,1
81,sandrarzo haha shell love definately vixens,1
82,thought invisable,1
83,extremely charitable least access work haircut,1
84,ladies detective agency,1
85,sarahdessen still unedited yay banpei still wont,1
86,home somefink eat together week least access,1
87,jenajean james taylor tune tonight cuz,1
88,nathanfillion castle going hour see jared good,1
89,somemaysay good btw randomly send need improve,1
91,skeggylady sorry bringing party sun reading bed,1
93,chemistry papers chillin tha cellular,1
95,dreamluverz give credit,1
97,enough sleep isnt masculine balance dont make,1
98,bella must prime helmet fit kms nice,1
100,pauly cheers sir,1
101,oweew goood loving hott weather jessi,1
103,team happy happy apprentice,1
104,whats tmrw hmm,1
105,delbertshoopman good adored also quot much fun,1
106,bakit ang goose better start saving buy,1
107,hells yeah pages,1
109,rach michelle haha picked idolscott tickets paid,1
110,jeeej uzvara quot hair looks smells really,1
111,draper haha sleep anything one gonna receive,1
113,hester love eman wake friends thank bao,1
114,bossmobb goodmorning goodnite goin dinner baby shower,1
115,realkidpoker wolverine know never got delayed stuff,1
116,alexparr maybe rain means beta mac,1
117,fbb competing time wedding fashion week time,1
118,tashadhanraj yeah lol dont reply lol,1
119,kelliv haha job flight back joel,1
120,mothlights yeah downloaded first time lmaoo,1
121,claire cordon haha road rascal pigeon detectives,1
124,markrosenbauer yes mainly cinnamon chai honey soothe,1
125,phoned nokia regent street almost weekend coy,1
126,doubleickey thing,1
128,cloudy cali cali gotta love actually plague,1
129,princessarchie remember delving religious reading vinci code,1
130,best move living room yoohooo,1
131,craigsutton sorry sucks wish awesome haha hey,1
133,well lotsa fluid,1
134,jordanknight need find wanna rockstar hey girl,1
135,myucan daamnn even halfway week tuesday show,1
136,thesharklady,1
137,howie happy hour submit fob queston,1
138,janell lol tweetpeete speaks thru christ need,1
139,marz thanks mean one follow reached maximum,1
140,wash love thank everyone head allison,1
141,learning quantum leap,1
142,leosgifted bout big soon hopefully katelyn plzzz,1
143,heat,1
144,say morning iplayer tomorrow big things know,1
145,dns entries concerts exclusive stuff use twitter,1
147,levnumesmerized going big discussion twitter think tweeting,1
148,kathybuckworth hey joe hill word accomplishments,1
149,frichii great week fuck yeah epicfail part,1
150,ram stuck inside think adorable jacob likes,1
151,natmcb lovely evening everyone got outbid ebay,1
152,trace went work glad liked first thing,1
153,awdio okay bedfordshire watch hbp released love,1
154,bom dia uahauha,1
155,hiks,1
157,chillin tha cellular,1
158,bahamabob mosquitoes yet check yes love actually,1
159,baileycardno happy birthday gift forgot today many,1
160,inkophile estie hear whole new cover rainbow,1
161,creepy stalker,1
162,savorthethyme love sitting cold glad things mine,1
164,newerdeal pedometer nintendo think consequences like length,1
165,jasontancy thanks sweetie lovely meet outside last,1
167,raining afternoon ate running music hear left,1
168,bumblebeebree says heart angel sweet love egg,1
169,mms still stung cavs fan till friday,1
170,sleeep,1
171,supervisor driving lesson kids yearning sunlight cold,1
172,coke,1
173,donating blood fix thats whats good btw,1
174,lesleypomeroy dang look facebook nothing parents got,1
177,jphatala lucky finish last monday westerkerk,1
178,joolzp laganas awesome time follow sparkling btw,1
180,record self concious,1
181,bbc saying lot hear sleep stars front,1
182,sarabethxvx would honest babe make sure first,1
183,artistaday well besides sun shining sun today,1
184,amylovegrove little morning spelling mistakes funny cigarette,1
186,online except people joining twitter set know,1
188,voice last two orientation thing advertised,1
189,grandmasheila ranggrol csquare marywebbjones dams thanks heads,1
190,roelani yet sign twitter would super jealous,1
191,engli cpt last exam,1
193,missed dover amp sun like,1
194,aghhhhhhagahghahghaghag cant,1
195,daisymoonstars thanks follows,1
196,looks good listen phlog work keurig machines,1
197,totzhatz sometimes mobiles makes time tell bust,1
198,wizards waverly place closes tomorrow though getting,1
200,briaaaa either learn though really warm sunny,1
202,therealceaza,1
203,uuuggghhh body would hmm one thing happened,1
205,waynerobinson bonus track chance stick really still,1
206,sherrilynne better,1
207,chillin tha buzzin ear popped quot tamil,1
210,pauliecooks quit smoking cig drinking coffee catching,1
211,song still getting wonderful time max,1
212,everything since met,1
213,doubleickey thing guys seperated surprised,1
215,red stripe,1
216,scifi channel surf,1
217,nobody home chillout,1
218,annzoo want help tho,1
219,friend soon sure nothing tough revision night,1
220,donniewahlberg certainly thrilled,1
221,smell like read princess tomorrow would fun,1
222,pillow smells good answer questions message,1
223,suzeormanshow late lol turned see beach thus,1
224,sarahsaner spirit advocate,1
225,hisfitness thanks boo sucks feel better original,1
226,nolanreiten jammer lol awww tomorrow bleh,1
227,mom well start tomorrow evening get mixed,1
228,juiceegapeach lol soooooo talented,1
229,monchainow thanks dont leave new camera jaffacakes,1
231,knicksmets darn hard longstory short back love,1
232,ascordellis commit button configurable permissions edit commit,1
233,omdyukkjtfxj welcome back back phone suck balls,1
235,kantashi know frickin awesome voice thing panicking,1
236,received last evening everyone amazing congratilations pauline,1
237,pookthy itunes feeel uncoool,1
238,jonathanrknight survived parking together nicely thnx neighbors,1
239,unboxing new voice,1
240,cathylando haha colors bangin lol ahh poo,1
242,hoping earache stops,1
243,jamesmachan hot,1
244,bao bei,1
245,jordanknight need songwriters,1
246,rainbowsleeve thanks mike well twit around real,1
247,eastcoastgamblr like drugs,1
248,wash whip beaver nuggets cooked terrific last,1
0,godlessgirl add none want shopping eating toast,0
1,madirigh damn sucks gotta,0
4,totzhatz sometimes late tired chill,0
6,ozdj must meeegelll pie jazzyyyyyy miss youu,0
11,hahahaha tired hungry greggs takes long day,0
12,isnt masculine balance dont like write song,0
13,madirigh damn take breath,0
18,jennieaguirre yeah downloaded wont hehe yer nice,0
20,aaaand lost talk hes upset day seriously,0
21,stepheezy got retarded grass hopper drink bars,0
31,sherinegamal doubt sold slr camera jaffacakes,0
32,confessing girl jenn makes cry wegs,0
35,jasminelynn problem like stuff apartment,0
36,nelldamylf aww jealous bay wanted stay night,0
41,lying,0
42,pdaonline missed dover amp joey amp dog,0
44,affan freaking hot already hot already redeemed,0
48,affan freaking,0
50,feeling like atm bad hitrecord theatre badly,0
51,marley saddest movie vid showing georgia kentucky,0
52,salehh beat points lame,0
60,beginning suspect phone loudly singing rain awaaayyyyy,0
62,susieqtpie sweet sorrow,0
65,boyfriend life cruel bitch christy trey,0
68,anothersaturday pics follow looking frantically cheap amp,0
71,make lots time done worried,0
73,phatfffat got hate getting quot ready weekend,0
84,kirankhanzada hate many thanks alot,0
85,lancesmithshow poor akila,0
92,alarm rings,0
96,wonder crazy ass late fix air,0
97,wooh got swine flu something see men,0
103,thirsty lazy get politicool iran,0
110,wants coming saturday worst start planning phase,0
125,aprealbrooke jealous awe super jealous sushi menu,0
126,find song stage song always really missing,0
128,mobidextrous going battle amp groove starting scare,0
129,cupcakes anyone suggestions runs hides,0
130,untamed heart excited gypsyhippie maybe cause suffer,0
138,sarah still insanely tired sparrow signing cowboy,0
140,pussycat dolls jakarta soo jealous saw fam,0
144,krist well missed neighbours frank diary worn,0
145,aja buffawhat booo got sunburn hell urghhhhh,0
146,twistedtamsyn yes gross shift know computer open,0
148,minecart ride get upset day tho testing,0
150,shoutouts today cross fingers peeling dead day,0
151,dexterouslady next one quot really bad wah,0
152,beverleycuddy weakness chocolate molten cakes ammmazing already,0
157,littlefishey hate ted first ever look picture,0
161,development executive yet still totally envious right,0
163,idiot damn lost see younglife group appeared,0
164,dog soon hate smoking funny cartoon character,0
166,germany gotta give name dutchies sorry still,0
170,stuck inside ugh hello replying gets tonsils,0
176,valerierenee sad raining stop please answer,0
181,toe way boring sunday,0
182,lechon cholesterol attack spyring safe journey see,0
190,misspear hear much grid sad playlists fit,0
192,getmevideo sorry ash wash whip later busy,0
195,cousins jenn makes lisa otto damn kenichi,0
197,sooooo worth far every bit broken omfg,0
208,late hungry greggs takes losing pounds,0
210,mad star donuts clement say hello followed,0
218,zocookie fab got retarded grass hopper drink,0
227,peer pressure sucks going bed mono bitch,0
229,kamscottxxx well accoding lips hurt hella tired,0
231,lisa otto damn heard tht david henrie,0
232,rachael thats sad karma,0
235,willow let bother know vices left lunch,0
240,newerdeal pedometer nintendo think grades extremely bored,0
249,maynardcomau boy see done homework vain existence,0
1,elliematthewson complete legend sad okay well dont,0
2,djmiles live support offline amp talked killed,0
7,gosh sorry bout showerr kick keynote address,0
11,lazy friday yet done hour even boo,0
15,ericleeusher wellllll sorry previous laptop gonna known,0
17,ahhhh took last week miss,0
21,shanika doomed,0
29,tomfelton hey see east today anti climax,0
31,ytinker ramone helenrampling later due growing missed,0
33,awaiting results went wrong smile comment guess,0
36,depressed cuz way,0
37,tinytwitter want together epic fail going make,0
39,cheapcheapcheap dive bomb com removed minimize systray,0
47,danmattia imo youre annoyed raining hard amp,0
52,shushhh girl paramore doubt concert finale moment,0
55,yagsfan ill rooting lakers ate little people,0
56,twishmay working much worse study method,0
58,theres heaps better attacked work try going,0
68,headache feeling sad followers day indeed jay,0
70,sleeptighttiger torture honestly sick issues,0
72,miriamstaley want water fight,0
90,chopsuey horrible warning hooray neopets general,0
92,cassiidy delayed,0
94,ooh err missus thats sad book ignore,0
96,pussycat dolls jakarta soo nervous chiodos contest,0
99,headin airport ughhh hate microbiology still learn,0
102,boborama lol figure dow feel miserable,0
108,labela insane intense breaking toe way anger,0
112,paying bills goddam pile,0
122,starving exhausted resting today got injured herd,0
123,zack literally cannot compare hope picks want,0
127,vivalaaden usually though free sofa bed hate,0
132,lame understand signed bass wif rozhan need,0
146,bencusick nodding josh buggering around world miss,0
156,brown chocolate hut chocimos baby make worse,0
163,people joining twitter got delayed,0
166,blevisthename tests evil chittastic instant okinawan yakisoba,0
175,fear weve found flat chance talk weather,0
176,wooh got bad way depression like sucks,0
179,pressure sucks totally bummed cannot watch video,0
185,freakin lakers cooking kitchen right kinda weak,0
187,tummy hurts looks good song david archuleta,0
192,like mileycyrus sad huh,0
199,hosamkamel talking girlfriend pathetic look somewhere else,0
201,jenny lost,0
204,chopsuey horrible friday night row company owned,0
208,thebraysmommy least try give name people shit,0
209,irishprincess sadly waaahhhhh,0
214,talater meatbar one old song amp freaking,0
230,sinuses going shops minutes get home sick,0
234,jillian look sad times square,0
241,feel miserable shots times hasnt let face,0
249,vacation vacation almost jumped fire keep mind,0
